frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
269,122.2380,0.2796,0.0007,0.0034,0.0075,0.0156,0.0141,1.2998,123.5378
270,122.4687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0135,122.4822
271,143.2369,0.3048,0.0004,0.0041,0.0038,0.0071,0.0112,1.2742,144.5111
272,110.7057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,110.7221
273,121.2577,0.3219,0.0014,0.0045,0.0036,0.0100,0.0139,1.4919,122.7496
274,122.2163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0146,122.2309
275,120.4035,0.2445,0.0005,0.0024,0.0047,0.0096,0.0100,1.4957,121.8992
276,119.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0192,119.0403
277,116.8868,0.2256,0.0004,0.0039,0.0044,0.0088,0.0090,1.5924,118.4792
278,127.1812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0270,127.2082
279,141.7384,0.2225,0.0004,0.0024,0.0032,0.0078,0.0084,1.7214,143.4598
280,137.2362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,137.2546
281,107.0732,0.1824,0.0004,0.0027,0.0021,0.0035,0.0053,0.9790,108.0522
282,103.5062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0104,103.5166
283,142.1091,0.2416,0.0005,0.0038,0.0036,0.0092,0.0100,1.4657,143.5748
284,110.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,110.0275
285,112.2200,0.1951,0.0012,0.0039,0.0037,0.0091,0.0100,1.1898,113.4098
286,119.2704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0272,119.2976
287,111.5528,0.3794,0.0007,0.0050,0.0090,0.0123,0.0191,1.9834,113.5362
288,122.3630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,122.3813
289,120.6762,0.3039,0.0014,0.0043,0.0044,0.0141,0.0152,2.0089,122.6851
290,111.9671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0225,111.9896
