frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
263,103.5516,0.8652,0.2888,8.0099,0.0024,0.0031,0.0068,10.5658,114.1174
264,74.9234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0118,74.9352
265,105.1791,0.8570,0.3013,8.8509,0.0067,0.0032,0.0076,11.4418,116.6209
266,182.9126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,182.9237
267,118.2861,0.9435,0.2394,0.0015,0.0022,0.0027,0.0071,2.2365,120.5226
268,100.8246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,100.8341
269,103.4453,0.8133,0.3221,6.3469,0.0035,0.0032,0.0076,8.8301,112.2754
270,95.1132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0143,95.1275
271,126.2300,0.9835,0.3430,9.2840,0.0044,0.0040,0.0091,12.3150,138.5450
272,99.5257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114,99.5371
273,98.2928,0.9810,0.3268,8.0796,0.0037,0.0040,4.9562,15.7171,114.0099
274,109.9182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0086,109.9268
275,73.4207,1.0212,0.3133,0.0003,0.0023,0.0028,0.0074,2.3260,75.7467
276,113.6226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,113.6306
277,121.8894,0.8241,0.3372,0.0003,0.0027,0.0032,0.0067,2.2041,124.0935
278,97.2337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,97.2448
279,86.3666,0.8147,0.3070,0.0004,0.0024,0.0027,0.0066,2.3058,88.6724
280,105.8801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0054,105.8855
281,123.8332,0.7731,0.3037,0.0004,0.0028,0.0025,0.0066,2.2025,126.0357
282,114.7798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,114.7855
283,97.0832,0.8637,0.3209,0.0002,0.0021,0.0028,0.0061,2.3655,99.4487
284,101.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,101.7072
285,119.4140,0.7727,0.2922,0.0003,0.0030,0.0030,0.0062,2.0212,121.4352
286,130.5634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0054,130.5688
287,90.3722,0.7316,0.2804,0.0003,0.0025,0.0032,0.0066,2.1935,92.5657
288,86.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,86.0820
289,126.7340,0.7148,0.2903,0.0003,0.0023,0.0028,0.0059,2.3707,129.1047
290,98.6101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0055,98.6156
